@relation 'dataset_feat_message-weka.filters.unsupervised.attribute.Remove-R2,5'

@attribute comm numeric
@attribute ddev numeric
@attribute exp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {clean,defective}

@data
1,1,10,1,223,517,0,5,2,clean
1,2,1,1,192,539,0,1,1,clean
2,2,464,2,223,301,67,96,73,defective
3,4,16,3,1577,101,32,9,2,clean
1,5,38,1,186,428,69,19,2,clean
4,7,48,4,177,269,56,21,3,defective
1,1,3,1,223,517,0,1,3,clean
1,1,49770,2,223,291,127,451,79,defective
1,2,22,1,192,3,0,1,22,clean
1,1,49770,2,223,291,127,451,79,defective
1,1,219,1,223,169,8,219,0,clean
3,4,29,3,1577,1220,238,75,1,clean
1,5,1,1,186,170,9,1,0,clean
2,1,3,2,223,389,81,9,3,clean
1,2,75,1,1577,49,6,75,0,clean
2,1,8,2,223,343,106,2,5,clean
1,1,21,1,223,343,105,3,7,clean
1,1,1947,1,223,500,122,1947,0,clean
1,1,21,1,223,343,105,3,7,clean
1,2,20128,2,192,344,113,148,136,clean
3,1,51,3,223,666,176,8,3,clean
1,2,209,1,192,116,29,209,0,clean
1,3,510,2,177,352,93,264,255,defective
3,2,35,6,223,484,122,6,3,clean
1,3,209,1,192,116,29,209,0,clean
1,4,510,2,177,352,93,264,255,defective
1,1,1947,1,223,500,122,1947,0,clean
1,1,4,6,223,164,30,2,2,clean
1,1,1,1,223,250,68,1,1,clean
1,1,49770,1,223,245,86,315,158,defective
1,2,107,1,1577,0,0,107,0,clean
1,1,6,1,223,671,124,3,2,clean
1,2,5,2,177,557,110,1,6,clean
1,1,1947,1,223,500,122,1947,0,clean
1,1,244,1,223,14,0,2,122,clean
1,2,20525,1,1577,5808,0,20525,0,clean
1,3,4,1,177,179,39,2,2,clean
1,1,244,2,223,14,0,2,122,clean
1,1,12,1,223,863,208,12,0,clean
1,1,8520,1,223,604,121,142,60,defective
1,1,1947,1,223,500,122,1947,0,clean
2,1,15,2,223,958,286,17,0,defective
1,1,42,2,223,336,44,12,1,clean
2,2,31320,3,1577,232,32,75,78,clean
1,1,2759,2,223,736,8,1570,0,defective
1,1,2759,2,223,736,8,1570,0,defective
1,1,337,1,223,0,0,0,337,clean
1,1,2759,2,223,586,0,1379,656,defective
1,1,2759,2,223,586,0,1379,656,defective
1,1,20,2,223,15,3,10,2,clean
1,2,38,1,177,22,0,19,2,clean
1,1,16,1,223,428,95,4,4,clean
1,1,1,1,223,250,68,1,1,clean
