@relation 'dataset_feat_message-weka.filters.unsupervised.attribute.Remove-R3,5,7,11'

@attribute comm numeric
@attribute adev numeric
@attribute exp numeric
@attribute modd numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute label {clean,defective}

@data
1,1,42,2,336,44,12,clean
2,2,31320,3,232,32,75,clean
1,1,2759,2,736,8,1570,defective
1,1,2759,2,736,8,1570,defective
1,1,337,1,0,0,0,clean
1,1,2759,2,586,0,1379,defective
1,1,2759,2,586,0,1379,defective
1,1,20,2,15,3,10,clean
1,1,38,1,22,0,19,clean
1,1,16,1,428,95,4,clean
1,1,1,1,250,68,1,clean
1,1,774,1,764,189,86,defective
1,1,537,1,949,220,537,defective
3,3,1501,3,592,115,503,defective
2,2,8,2,456,93,45,defective
1,1,11562,1,284,48,82,clean
1,1,16,2,182,39,14,clean
1,1,60,1,1019,293,5,clean
1,1,1,1,9,0,1,clean
1,1,1,1,14,4,1,clean
1,1,1158,1,409,65,1158,clean
1,1,4,1,2,0,4,clean
1,1,4,1,2,0,4,clean
2,2,294,3,269,44,207,clean
3,3,9,3,231,53,2,clean
2,2,15,2,638,129,92,clean
1,1,4,1,1237,218,4,clean
2,2,36,2,0,0,20,clean
1,1,6,1,99,27,6,clean
1,1,1,1,99,27,1,clean
1,1,61,1,12,0,61,clean
1,1,4,1,12,0,2,clean
1,1,376,1,73,0,47,clean
1,1,376,1,73,0,47,clean
1,1,376,1,73,0,47,clean
1,1,11,1,907,286,0,clean
3,3,45,3,231,53,6,clean
1,1,13,1,242,56,13,clean
2,2,3,2,166,25,17,clean
1,1,127,1,70,0,127,clean
1,1,77070,1,1143,260,1101,defective
1,1,1,1,888,166,1,clean
1,1,2759,1,1173,0,2759,defective
1,1,2759,1,1173,0,2759,defective
1,1,1,1,1,0,1,clean
1,1,1947,1,500,122,1947,clean
1,1,244,1,14,0,2,clean
1,1,244,1,14,0,2,clean
1,1,1947,2,522,111,1582,clean
1,1,3,3,118,15,10,clean
1,1,3172,4,166,25,101,clean
1,1,576,8,336,44,36,clean
1,1,4,11,116,16,4,clean
1,1,1160,6,265,36,190,clean
1,1,5,38,16,0,9,clean
1,1,18952,1,1390,222,184,clean
1,1,31320,3,187,26,82,clean
1,1,1,1,42,0,1,defective
1,1,26,1,40,0,0,clean
1,1,337,2,0,0,0,clean
1,1,2759,1,1173,0,2759,defective
1,1,1,1,1,0,1,clean
1,1,774,1,764,189,86,defective
1,1,525,1,397,71,525,defective
1,1,4,1,410,71,2,clean
1,1,10,1,8,0,10,clean
1,1,39,1,798,141,39,clean
2,2,1,4,13,2,5,clean
1,1,1947,1,500,122,1947,clean
1,1,1947,1,500,122,1947,clean
1,1,1947,1,500,122,1947,clean
1,1,1947,1,500,122,1947,clean
1,1,1947,1,500,122,1947,clean
1,1,1947,1,500,122,1947,clean
1,1,1947,1,500,122,1947,clean
1,1,1947,1,500,122,1947,clean
1,1,1947,1,500,122,1947,clean
1,1,1947,1,500,122,1947,clean
1,1,1947,1,500,122,1947,clean
1,1,1947,1,500,122,1947,clean
1,1,1947,1,500,122,1947,clean
1,1,1947,1,500,122,1947,clean
1,1,3498,1,1377,411,22,clean
1,1,9,1,1377,411,1,clean
1,1,230,1,128,23,230,clean
1,1,688,1,203,0,86,clean
1,1,5,1,40,0,0,clean
1,1,244,1,14,0,2,clean
1,1,112727,1,175,15,323,clean
3,3,7828,3,556,132,139,defective
1,1,7,1,179,39,7,clean
1,1,4,1,179,39,2,clean
1,1,35,1,1133,186,7,clean
1,1,4,2,830,144,4,clean
1,1,17,1,1145,192,17,clean
1,1,5,1,549,104,5,clean
1,1,12320,1,663,148,160,defective
1,1,299,1,653,144,23,clean
1,1,162,1,1360,424,27,clean
1,1,14,1,310,47,14,clean
1,1,6336,1,2696,784,144,clean
1,1,754,1,3551,660,29,clean
1,1,176,1,2213,424,176,clean
1,1,1294,1,878,187,1294,defective
2,2,17280,2,267,66,92,defective
1,1,1,1,556,132,1,clean
1,1,450,1,276,72,50,defective
1,1,1,1,556,132,1,clean
1,1,20,1,18,6,10,clean
3,3,17280,3,364,88,199,defective
2,2,6,2,533,65,82,defective
1,1,1294,1,878,187,1294,defective
1,1,410,1,310,70,10,clean
3,3,187,3,6566,2010,54,defective
1,1,226576,1,6829,2100,476,defective
1,1,1,1,6889,2114,1,clean
4,4,71,4,878,187,327,defective
2,2,537,2,951,220,273,defective
1,1,6,1,1353,419,6,clean
1,1,7828,1,558,132,412,defective
1,1,204,1,720,136,204,defective
1,1,5562,1,2549,570,309,clean
1,1,132,1,5631,1114,22,clean
1,1,81,3,2249,460,6,clean
2,2,361,4,984,218,92,defective
3,3,20,5,302,61,64,clean
1,1,1294,1,878,187,1294,defective
1,1,28,1,5552,1195,7,clean
1,1,83,1,5627,1201,83,defective
1,1,1294,1,878,187,1294,defective
1,1,37,1,3323,840,37,clean
1,1,1294,1,878,187,1294,defective
1,1,3,1,883,188,1,clean
1,1,10,1,1054,244,10,clean
2,2,1294,2,879,187,653,defective
1,1,8,1,71,14,8,clean
1,1,9,1,5617,1112,3,clean
2,2,1,2,1195,220,6,clean
3,3,4902,3,120,22,61,clean
1,1,425,1,137,26,25,clean
1,1,35,1,162,33,35,clean
1,1,244,1,146,21,244,clean
1,1,1344,1,757,145,1344,clean
3,3,5,3,399,62,6,clean
1,1,4,1,29,0,2,clean
1,1,154,1,18,0,14,clean
1,1,2,1,5,0,2,defective
1,1,8,1,335,69,8,clean
1,1,1,1,1459,454,1,clean
1,1,806,4,739,228,403,defective
2,2,632,2,437,135,13,clean
1,1,25,1,463,141,5,clean
1,1,72,1,175,50,9,defective
1,1,24,1,183,54,24,defective
1,1,285,1,546,104,19,clean
1,1,12,1,3578,161,12,clean
1,1,4,1,3625,162,2,clean
1,1,9,1,3736,174,3,clean
3,3,190,5,194,66,39,defective
1,1,20667,1,282,91,83,clean
1,1,1,1,35,8,1,clean
1,1,8,2,766,227,35,clean
1,1,47,2,530,156,0,clean
1,1,2,1,64,0,0,clean
4,4,23,4,552,156,17,clean
1,1,400,1,77,4,20,defective
1,1,9,1,281,63,9,clean
1,1,5,1,8,0,5,clean
2,2,4,2,21,0,3,clean
1,1,1,1,21,0,1,clean
1,1,72,1,175,50,9,defective
2,2,4,2,503,111,12,defective
1,1,3,1,224,63,0,clean
1,1,13,1,441,84,13,clean
1,1,25,1,721,160,5,clean
1,1,121,1,748,164,11,clean
1,1,1,1,1370,318,1,clean
4,4,16,6,516,92,77,defective
3,3,94,3,1224,227,27,clean
1,1,86,1,34,0,86,clean
