@relation dataset_file

@attribute comm numeric
@attribute adev numeric
@attribute ddev numeric
@attribute exp numeric
@attribute oexp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {clean,defective}

@data
1,1,4,4,4,1,1355,67,0,4,0,clean
1,1,1,1,2,1,2188,10,0,1,1,clean
1,1,2,1,2,1,1700,10,0,1,1,clean
1,1,1,13,14,1,2188,33,0,13,1,clean
1,1,2,6,5,1,1692,34,0,3,2,clean
2,2,4,1,1,2,1700,33,0,0,1,clean
1,1,1,25,10,1,2188,43,0,5,5,clean
2,2,3,2,2,2,1454,47,0,3,0,clean
2,2,4,14,18,2,1520,54,0,9,0,clean
2,2,6,24,12,2,1700,57,0,9,3,defective
2,2,1,85,253,3,1454,19,0,69,14,clean
1,1,2,5,5,1,1700,31,0,5,0,clean
2,2,2,3,6,2,2188,66,0,2,1,clean
1,1,3,2,2,1,1520,68,0,2,0,clean
4,4,5,3,49,4,1700,84,0,13,1,clean
2,2,7,1,2,2,1355,105,0,1,0,clean
9,9,5,1,2,9,2188,36,0,1,1,clean
9,9,11,1,2,9,1692,37,0,1,1,clean
5,5,16,1,2,5,1454,38,0,1,1,clean
12,12,22,1,6,12,1520,38,0,1,1,clean
12,12,30,1,4,12,1700,37,0,1,1,clean
6,6,34,1,2,6,1355,37,0,1,1,clean
1,1,1,105,22,1,1700,24,0,15,7,clean
1,1,1,1,2,1,2188,50,0,1,1,clean
1,1,2,5,6,1,1692,53,0,5,1,clean
2,2,4,1,2,2,1520,52,0,1,1,clean
3,3,6,1,35,3,1700,50,0,6,6,clean
1,1,7,2,3,1,1355,53,0,2,1,clean
1,1,1,520,46,1,1520,43,0,20,26,clean
6,6,2,384,88,6,1355,64,0,9,4,clean
1,1,1,1,2,1,2188,52,0,1,1,clean
2,2,3,3,4,2,1520,55,0,3,0,clean
3,3,5,5,8,3,1700,63,0,10,3,clean
1,1,1,2,2,1,2188,50,0,2,0,clean
1,1,2,7,8,1,1692,54,0,7,1,clean
2,2,3,1,5,2,1520,55,0,2,0,clean
1,1,4,2,2,1,1355,58,0,2,0,clean
1,1,1,1,2,1,2188,111,0,1,1,clean
20,20,2,3,120,20,1520,130,0,3,2,clean
1,1,3,4,4,1,1700,125,0,0,4,clean
2,2,4,25,12,2,1355,125,0,3,3,clean
3,3,1,5,10,3,1520,67,0,2,1,clean
1,1,2,4,4,1,1700,64,0,0,4,clean
1,1,3,20,12,1,1355,72,0,10,2,clean
1,1,1,1,2,1,2188,54,0,1,1,clean
1,1,2,2,3,1,1700,56,0,2,1,clean
3,3,1,1,58,3,2188,55,0,8,10,clean
3,3,4,1,2,3,1520,57,0,1,0,clean
1,1,5,4,4,1,1700,59,0,2,2,clean
2,2,2,1,1,2,2188,162,0,1,0,clean
1,1,3,1,1,1,1692,162,0,0,1,clean
1,1,4,11,11,1,1454,171,0,11,0,clean
1,1,5,1,1,1,1700,170,0,0,1,clean
3,3,2,18,5,4,2188,12,0,29,1,clean
1,1,3,52,17,1,1355,22,0,13,4,clean
6,6,1,4,14,6,2188,95,0,1,0,clean
3,3,4,1,1,3,1692,99,0,1,0,clean
2,2,5,1,5,2,1454,102,0,1,1,clean
1,1,6,1,1,1,1520,103,0,1,0,clean
5,5,10,1,10,5,1700,104,0,2,0,defective
2,2,11,2,10,2,1355,111,0,4,1,clean
1,1,1,36,12,1,1520,15,0,6,6,clean
1,1,1,81,18,1,1692,149,0,9,9,clean
3,3,3,1,2,3,1454,150,0,1,0,clean
6,6,6,62,6,6,1520,206,0,20,4,clean
2,2,8,2,8,2,1700,213,0,4,0,clean
3,3,11,4,8,3,1355,217,0,5,0,clean
3,3,2,3,18,5,1520,76,0,2,2,clean
2,2,4,4,2,2,1355,77,0,2,2,clean
1,1,1,17,17,1,1520,63,0,17,0,clean
1,1,2,1,1,1,1700,62,0,0,1,clean
2,2,2,1,2,2,2188,43,0,1,1,clean
2,2,4,3,9,2,1692,45,0,4,1,clean
1,1,5,4,4,1,1454,48,0,2,2,clean
3,3,7,1,2,3,1700,48,0,0,0,clean
2,2,8,4,9,2,1355,51,0,4,0,clean
6,6,4,10,6,6,2188,342,3,6,3,clean
3,3,7,4,1,3,1692,355,3,4,1,clean
2,2,8,2,5,2,1454,357,3,1,1,clean
3,3,10,1,2,3,1520,358,3,2,0,clean
3,3,13,1,2,3,1700,358,3,0,2,clean
15,15,15,213,304,15,1355,404,3,11,9,clean
1,1,1,28,11,1,2188,46,0,7,4,defective
1,1,2,1,1,1,1692,45,0,0,1,clean
1,1,3,5,5,1,1700,40,0,0,5,clean
2,2,1,4,6,2,1700,44,0,1,2,clean
1,1,2,8,6,1,1355,41,0,2,4,clean
1,1,1,30,13,1,1692,31,0,10,3,clean
1,1,2,24,14,1,1520,37,0,12,2,clean
