@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R2-3,5,8,11'

@attribute comm numeric
@attribute exp numeric
@attribute modd numeric
@attribute mods numeric
@attribute cyco numeric
@attribute addl numeric
@attribute label {defective,clean}

@data
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
2,22401,2,1742,6611,11223,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
2,22401,2,1742,6611,11223,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
