@relation 'dataset_feat_h-weka.filters.unsupervised.attribute.Remove-R3,5-6,8'

@attribute comm numeric
@attribute adev numeric
@attribute exp numeric
@attribute mods numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {clean,defective}

@data
1,1,49770,223,86,315,158,defective
1,1,107,1577,0,107,0,clean
1,1,6,223,124,3,2,clean
1,1,5,177,110,1,6,clean
1,1,1947,223,122,1947,0,clean
1,1,244,223,0,2,122,clean
1,1,20525,1577,0,20525,0,clean
1,1,4,177,39,2,2,clean
1,1,244,223,0,2,122,clean
1,1,12,223,208,12,0,clean
1,1,8520,223,121,142,60,clean
1,1,1947,223,122,1947,0,clean
2,2,15,223,286,17,0,defective
1,1,42,223,44,12,1,clean
2,2,31320,1577,32,75,78,defective
1,1,2759,223,8,1570,0,defective
1,1,2759,223,8,1570,0,defective
1,1,337,223,0,0,337,clean
1,1,2759,223,0,1379,656,defective
1,1,2759,223,0,1379,656,defective
1,1,20,223,3,10,2,clean
1,1,38,177,0,19,2,clean
1,1,16,223,95,4,4,clean
1,1,1,223,68,1,1,clean
1,1,774,223,189,86,9,clean
1,1,537,223,220,537,0,clean
3,3,1501,1577,115,503,0,defective
2,2,8,177,93,45,36,defective
1,1,11562,223,48,82,141,clean
1,1,16,223,39,14,23,clean
1,1,60,186,293,5,12,clean
1,1,1,223,0,1,1,clean
1,1,1,223,4,1,1,clean
1,1,1158,223,65,1158,0,clean
1,1,4,223,0,4,0,clean
1,1,4,223,0,4,0,clean
2,2,294,223,44,207,22,defective
3,3,9,1577,53,2,6,clean
2,2,15,186,129,92,648,clean
1,1,4,192,218,4,0,clean
2,2,36,177,0,20,0,clean
1,1,6,223,27,6,1,clean
1,1,1,1577,27,1,1,clean
1,1,61,223,0,61,0,clean
1,1,4,192,0,2,2,clean
1,1,376,223,0,47,8,clean
1,1,376,223,0,47,8,clean
1,1,376,223,0,47,8,clean
1,1,11,223,286,0,11,clean
3,3,45,1577,53,6,5,clean
1,1,13,186,56,13,0,clean
2,2,3,192,25,17,0,clean
1,1,127,223,0,127,0,clean
1,1,77070,223,260,1101,70,clean
1,1,1,177,166,1,1,clean
1,1,2759,223,0,2759,0,defective
1,1,2759,223,0,2759,0,defective
1,1,1,223,0,1,1,clean
1,1,1947,223,122,1947,0,clean
1,1,244,223,0,2,122,clean
1,1,244,223,0,2,122,clean
1,1,1947,223,111,1582,0,clean
1,1,3,223,15,10,1,defective
1,1,3172,1577,25,101,480,defective
1,1,576,223,44,36,28,defective
1,1,4,223,16,4,0,defective
1,1,1160,1577,36,190,59,defective
1,1,5,223,0,9,0,clean
1,1,18952,223,222,184,103,defective
1,1,31320,1577,26,82,694,defective
1,1,1,223,0,1,1,defective
1,1,26,1577,0,0,26,clean
1,1,337,223,0,0,825,clean
1,1,2759,223,0,2759,0,defective
1,1,1,223,0,1,1,clean
1,1,774,223,189,86,9,clean
1,1,525,223,71,525,0,clean
1,1,4,177,71,2,2,clean
1,1,10,223,0,10,0,clean
1,1,39,223,141,39,0,clean
2,2,1,223,2,5,1,clean
1,1,1947,223,122,1947,0,clean
1,1,1947,223,122,1947,0,clean
1,1,1947,223,122,1947,0,clean
1,1,1947,223,122,1947,0,clean
1,1,1947,223,122,1947,0,clean
1,1,1947,223,122,1947,0,clean
